chapter	section	section_time_onset	section_time_offset	whole_time_onset	whole_time_offset	sentence_id	token_id	token	surprisal	maybe_mismatch
1	1	106.595	106.752	106.595	106.752	22	6	has	13.060354	FALSE
1	1	106.752	107.082	106.752	107.082	22	7	served	10.51687	FALSE
1	1	107.082	107.222	107.082	107.222	22	8	me	5.734594	FALSE
1	1	107.222	107.53	107.222	107.53	22	9	well	0.206117	FALSE
1	1	108.174	108.308	108.174	108.308	23	1	I	0	FALSE
1	1	108.308	108.499	108.308	108.499	23	2	could	8.235043	FALSE
1	1	108.499	109.159	108.499	109.159	23	3	recognize	11.108335	FALSE
1	1	109.159	109.259	109.159	109.259	23	4	at	8.177089	FALSE
1	1	109.259	109.779	109.259	109.779	23	5	first	2.791333	FALSE
1	1	109.779	110.299	109.779	110.299	23	6	glance	2.416438	FALSE
1	1	110.299	110.769	110.299	110.769	23	7	China	16.876453	FALSE
1	1	110.769	110.951	110.769	110.951	23	8	from	7.032404	FALSE
1	1	110.951	111.568	110.951	111.568	23	9	Arizona	13.677691	FALSE
1	1	111.893	112.005	111.893	112.005	24	1	It	0	FALSE
1	1	112.005	112.067	112.005	112.067	24	2	is	4.18367	FALSE
1	1	112.067	112.428	112.067	112.428	24	3	very	5.491418	FALSE
1	1	112.428	112.838	112.428	112.838	24	4	useful	8.141871	FALSE
1	1	112.838	112.987	112.838	112.987	24	5	if	4.817404	FALSE
1	1	112.987	113.048	112.987	113.048	24	6	you	0.583135	FALSE
1	1	113.048	113.215	113.048	113.215	24	7	get	7.441563	FALSE
1	1	113.215	113.558	113.215	113.558	24	8	lost	7.954386	FALSE
1	1	113.558	113.657	113.558	113.657	24	9	at	5.331646	FALSE
1	1	113.657	114.057	113.657	114.057	24	10	night	2.501122	FALSE
1	1	114.725	115.19	114.725	115.19	25	1	I	0	FALSE
1	1	115.19	115.419	115.19	115.419	25	2	have	6.037737	FALSE
1	1	115.419	115.64	115.419	115.64	25	3	had	5.55949	FALSE
1	1	115.64	115.98	115.64	115.98	25	4	during	13.775393	FALSE
1	1	115.98	116.163	115.98	116.163	25	5	my	1.384543	FALSE
1	1	116.163	116.814	116.163	116.814	25	6	life	3.611458	FALSE
1	1	116.814	117	116.814	117	25	7	a	3.677315	FALSE
1	1	117	117.227	117	117.227	25	8	lot	4.065723	FALSE
1	1	117.227	117.335	117.227	117.335	25	9	of	0.063599	FALSE
1	1	117.335	117.94	117.335	117.94	25	10	contact	8.061004	FALSE
1	1	117.94	118.07	117.94	118.07	25	11	with	0.344602	FALSE
