word,lemma,onset,offset,logfreq,pos,section,top_down,bottom_up,left_corner,sentence_id,surprisal
能够,能够,61.28,61.56,8.210318513567078,VERB,1,3,17,4,25,6.408666323870083
看,看,61.56,61.76,9.55394241671565,VERB,1,3,1,2,25,1.9524553413413053
懂,懂,61.76,61.97,6.039235144076326,VERB,1,1,4,2,25,3.90446074680636
这些,这些,62.7,63.01,9.35458442856651,DET,1,4,2,3,26,5.769175815855807
大人,大人,63.01,63.37,4.335039843449545,NOUN,1,2,3,3,26,4.845689968458002
总是,总是,63.56,63.89,-0.6088060321261943,ADV,1,3,2,3,26,5.330063625666471
需要,需要,63.89,64.15,9.090951585291394,VERB,1,2,1,2,26,6.9133920609194615
解释,解释,64.15,64.53,7.675251295542921,VERB,1,2,5,3,26,6.266325173974163
我,我,65.66,65.79,10.534098233242508,PRON,1,5,2,3,27,1.6865386857575142
的,的,65.79,65.87,13.549001743000456,PART,1,1,2,2,27,1.4587933924936805
第二,第二,65.87,66.2,2.4071252722679697,NUM,1,2,1,2,27,5.430378512478448
号,号,66.2,66.35,7.533595309285531,NOUN,1,2,3,3,27,3.559037925823261
作品,作品,66.35,66.76,8.013916006367577,NOUN,1,2,3,3,27,6.715122620567527
是,是,66.92,67.08,11.813576063887458,VERB,1,2,1,2,27,2.288126324939357
这样,这样,67.08,67.4,9.279369482806482,VERB,1,3,2,3,27,5.61135428802293
的,的,67.4,67.56,13.549001743000456,PART,1,1,4,2,27,1.748760620107677
大人们,大人们,68.75,69.13,2.56117300524145,NOUN,1,3,2,3,28,7.603286876075971
劝,劝,69.13,69.39,3.3212157832325224,VERB,1,3,1,2,28,4.475999163744701
我,我,69.39,69.53,10.534098233242508,PRON,1,3,2,3,28,1.279516301417094
把,把,69.75,69.86,9.380520434905035,X,1,2,1,2,28,3.0505705871464173
这些,这些,69.86,70.21,9.35458442856651,DET,1,4,2,3,28,6.1613368625569755
画,画,70.21,70.4,5.856540756976389,VERB,1,4,1,2,28,2.9215169176771085
着,着,70.4,70.5,9.759306279287683,PART,1,1,1,1,28,3.70387511955876
开,开,70.5,70.71,8.10480920296228,VERB,1,6,1,2,28,3.050115414239507
着,着,70.71,70.79,9.759306279287683,PART,1,1,1,1,28,1.8383428977571947
肚皮,肚皮,70.79,71.18,2.1432375997599125,NOUN,1,2,4,3,28,8.357473146278776
的,的,71.18,71.32,13.549001743000456,PART,1,1,3,2,28,0.969192257461252
或,或,71.71,71.8,9.409448574654736,CCONJ,1,1,1,1,29,3.676709077562687
闭,闭,71.8,71.99,4.273090288904739,NOUN,1,6,2,3,29,4.476540105182967
上,上,71.99,72.16,10.760238470227222,VERB,1,1,2,2,29,3.38608519020019
肚皮,肚皮,72.16,72.41,2.1432375997599125,NOUN,1,2,3,3,29,7.361206867821412
的,的,72.41,72.49,13.549001743000456,PART,1,1,2,2,29,1.4683843706058566
蟒蛇,蟒蛇,72.49,72.83,-2.9759296462578115,NOUN,1,2,6,3,29,8.727583861078278
的,的,72.83,72.9,13.549001743000456,PART,1,1,2,2,29,2.6809094510230977
图画,图画,72.9,73.21,4.077554392914626,NOUN,1,2,3,3,29,5.407560897313294
放在,放在,73.21,73.44,-1.194022473472768,VERB,1,2,1,2,29,6.474964777753966
一边,一边,73.44,73.75,6.266120268854634,NOUN,1,2,7,3,29,6.197649298062733
还是,还是,74.36,74.62,8.436614606852991,CCONJ,1,1,1,1,30,3.7635972699713935
把,把,74.62,74.74,9.380520434905035,X,1,2,1,2,30,3.6465549416796823
兴趣,兴趣,74.74,75.15,6.902116410403668,NOUN,1,3,2,3,30,7.408714581444096
放,放,75.34,75.52,7.356911222548357,VERB,1,2,1,2,30,1.4859158105018977
在,在,75.52,75.65,11.76214703363635,ADP,1,2,1,2,30,1.4024719470845166
地理,地理,75.65,76.23,6.673716337887216,NOUN,1,3,1,2,30,9.599515830149985
历史,历史,76.33,76.82,9.42266747586653,NOUN,1,1,1,1,30,7.35676787411617
算术,算术,76.98,77.35,2.4131420835586894,NOUN,1,1,1,1,30,6.131617113943914
语法,语法,77.35,77.71,5.745803749751938,NOUN,1,1,2,2,30,6.51833274950611
上,上,77.71,77.91,10.760238470227222,PART,1,1,8,2,30,2.891283878855384
就,就,78.76,78.92,10.143313771089671,ADV,1,3,2,3,31,2.5283719042623423
这样,这样,78.92,79.3,9.279369482806482,ADV,1,3,2,3,31,2.9706241230139288
在,在,79.96,80.14,11.76214703363635,ADP,1,2,1,2,32,2.1052120338629714
六,六,80.14,80.27,8.93071178299457,NUM,1,4,1,2,32,3.96432442506831
岁,岁,80.27,80.44,8.167040644609932,NUM,1,2,3,3,32,2.720897677896275
的,的,80.44,80.51,13.549001743000456,PART,1,1,2,2,32,0.5865991468871367
那,那,80.51,80.64,8.880679246981725,DET,1,2,2,2,32,2.2232683539594618
年,年,80.64,80.87,11.45070769414057,NUM,1,2,5,3,32,3.5656561971996674
我,我,81.29,81.4,10.534098233242508,PRON,1,2,2,2,33,1.6865386857575142
就,就,81.4,81.51,10.143313771089671,ADV,1,3,2,3,33,2.511337487095448
放弃,放弃,81.51,81.84,6.338919113712641,VERB,1,2,1,2,33,8.53691214604709
了,了,81.84,81.94,11.717088826693631,PART,1,1,1,1,33,1.7970117058986517
当,当,81.94,82.08,8.529402948041533,ADP,1,4,1,2,33,2.588953183361115
画家,画家,82.08,82.44,5.059012674669562,NOUN,1,3,2,3,33,6.754255304860818
这,这,82.62,82.73,11.129278789292488,DET,1,2,1,2,33,1.3017273991160687
一,一,82.73,82.78,11.4288871621941,NUM,1,2,3,3,33,1.890347456947551
美好,美好,82.78,83.13,5.849457336002415,VERB,1,2,4,3,33,5.323899854744924
的,的,83.13,83.24,13.549001743000456,PART,1,1,2,2,33,2.4607000063817086
职业,职业,83.24,83.63,7.489396991164534,NOUN,1,2,6,3,33,8.609100268680788
我,我,84.36,84.47,10.534098233242508,PRON,1,5,2,3,34,1.6865386857575142
的,的,84.47,84.58,13.549001743000456,PART,1,1,2,2,34,1.4587933924936805
第一,第一,84.58,84.9,2.2220255851356288,NUM,1,2,1,2,34,4.121964164043291
号,号,84.9,85.11,7.533595309285531,NUM,1,2,3,3,34,4.034009019206311
第二,第二,85.31,85.55,2.4071252722679697,NUM,1,4,1,2,34,3.651636931329276
号,号,85.55,85.71,7.533595309285531,NOUN,1,2,3,3,34,3.45658123053346
